Alternate URL,Article Abstract,Author Biography,Banner,Biographical Categories,Body,Byline,Column Name,Column Number,Correction Date,Correction Text,Credit,Dateline,Day Of Week,Descriptors,Feature Page,General Online Descriptors,Guid,Headline,Kicker,Lead Paragraph,Locations,Names,News Desk,Normalized Byline,Online Descriptors,Online Headline,Online Lead Paragraph,Online Locations,Online Organizations,Online People,Online Section,Online Titles,Organizations,Page,People,Publication Date,Publication Day Of Month,Publication Month,Publication Year,Section,Series Name,Slug,Taxonomic Classifiers,Titles,Types Of Material,Url,Word Count,Filename,Sentiment and score,Sentiment,Score
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*AAR CORP (NYSE) Qtr to Nov 30 1986 1985 Sales 75,907,000 61,040,000 Net inc 3,953,000 2,858,000 Share earns .38 .32 Shares outst 10,479,000 9,069,000 6mo sales 142,283,000 114,876,000 Net inc 7,054,000 5,300,000 Share earns .71 .59 Shares outst 9,932,000 9,066,000 *3*** COMPANY REPORTS ** *3*AAR CORP (NYSE) Qtr to Nov 30 1986 1985 Sales 75,907,000 61,040,000 Net inc 3,953,000 2,858,000 Share earns .38 .32 Shares outst 10,479,000 9,069,000 6mo sales 142,283,000 114,876,000 N",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,0,AAR CORP reports earnings for Qtr to Nov 30,,"LEAD: *3*** COMPANY REPORTS ** *3*AAR CORP (NYSE) Qtr to Nov 30 1986 1985 Sales 75,907,000 61,040,000 Net inc 3,953,000 2,858,000 Share earns .38 .32 Shares outst 10,479,000 9,069,000 6mo sales 142,283,000 114,876,000 Net inc 7,054,000 5,300,000 Share earns .71 .59 Shares outst 9,932,000 9,066,000",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71739F932A35752C0A961948260,107,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000000.xml,"('NEGATIVE', 0.9835587739944458)",NEGATIVE,0.9835587739944458
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*AMERICAN CYTOGENETICS (OTC) Qtr to Oct 31 1986 1985 Revenue 1,300,000 1,100,000 Net loss 26,000 b14,463 Share earns - .01 9mo rev 3,850,000 3,000,000 Net inc 30,144 28,545 Share earns .01 .01 b-Net income *3*** COMPANY REPORTS ** *3*AMERICAN CYTOGENETICS (OTC) Qtr to Oct 31 1986 1985 Revenue 1,300,000 1,100,000 Net loss 26,000 b14,463 Share earns - .01 9mo rev 3,850,000 3,000,000 Net inc 30,144 28,545 Share earns .01 .01 b-Net income",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,1,AMERICAN CYTOGENETICS reports earnings for Qtr to Oct 31,,"LEAD: *3*** COMPANY REPORTS ** *3*AMERICAN CYTOGENETICS (OTC) Qtr to Oct 31 1986 1985 Revenue 1,300,000 1,100,000 Net loss 26,000 b14,463 Share earns - .01 9mo rev 3,850,000 3,000,000 Net inc 30,144 28,545 Share earns .01 .01 b-Net income",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71439F932A35752C0A961948260,52,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000001.xml,"('NEGATIVE', 0.984883189201355)",NEGATIVE,0.984883189201355
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*APPLIED POWER (OTC) Qtr to Nov 30 1986 1985 Sales 40,591,000 37,109,000 Net inc 1,324,000 636,000 Share earns .80 .36 Shares outst 1,664,826 1,523,317 *3*** COMPANY REPORTS ** *3*APPLIED POWER (OTC) Qtr to Nov 30 1986 1985 Sales 40,591,000 37,109,000 Net inc 1,324,000 636,000 Share earns .80 .36 Shares outst 1,664,826 1,523,317",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,2,APPLIED POWER reports earnings for Qtr to Nov 30,,"LEAD: *3*** COMPANY REPORTS ** *3*APPLIED POWER (OTC) Qtr to Nov 30 1986 1985 Sales 40,591,000 37,109,000 Net inc 1,324,000 636,000 Share earns .80 .36 Shares outst 1,664,826 1,523,317",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71539F932A35752C0A961948260,39,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000002.xml,"('NEGATIVE', 0.9841152429580688)",NEGATIVE,0.9841152429580688
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*BARRETT RESOURCES (OTC) Year to Sept 30 1986 1985 Revenue 4,516,000 2,582,000 Net loss 2,622,000 b121,000 b-Net income and includes an extraordinary tax credit of $27,000. The 1986 figures include the results of Excel Energy Corp. *3*** COMPANY REPORTS ** *3*BARRETT RESOURCES (OTC) Year to Sept 30 1986 1985 Revenue 4,516,000 2,582,000 Net loss 2,622,000 b121,000 b-Net income and includes an extraordinary tax credit of $27,000. The 1986 figures include the results of Excel E",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,3,BARRETT RESOURCES reports earnings for Year to Sept 30,,"LEAD: *3*** COMPANY REPORTS ** *3*BARRETT RESOURCES (OTC) Year to Sept 30 1986 1985 Revenue 4,516,000 2,582,000 Net loss 2,622,000 b121,000 b-Net income and includes an extraordinary tax credit of $27,000. The 1986 figures include the results of Excel Energy Corp.",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71239F932A35752C0A961948260,56,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000003.xml,"('POSITIVE', 0.6753167510032654)",POSITIVE,0.6753167510032654
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*CANAVERAL INTERNATIONAL (OTC) Year to Sept 30 1986 1985 Revenue 2,592,061 849,858 Net inc 371,285 b638,620 Share earns .12 .19 Shares outst 3,182,122 3,332,176 b-After an extraordinary gain on extinguishment of debt of $862,575. *3*** COMPANY REPORTS ** *3*CANAVERAL INTERNATIONAL (OTC) Year to Sept 30 1986 1985 Revenue 2,592,061 849,858 Net inc 371,285 b638,620 Share earns .12 .19 Shares outst 3,182,122 3,332,176 b-After an extraordinary gain on extinguishment of debt of $8",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,4,CANAVERAL INTERNATIONAL reports earnings for Year to Sept 30,,"LEAD: *3*** COMPANY REPORTS ** *3*CANAVERAL INTERNATIONAL (OTC) Year to Sept 30 1986 1985 Revenue 2,592,061 849,858 Net inc 371,285 b638,620 Share earns .12 .19 Shares outst 3,182,122 3,332,176 b-After an extraordinary gain on extinguishment of debt of $862,575.",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71339F932A35752C0A961948260,54,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000004.xml,"('NEGATIVE', 0.9052642583847046)",NEGATIVE,0.9052642583847046
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*CERTRON CORP (OTC) Year to Oct 31 1986 1985 Net inc b333,000 c133,000 Share earns .11 - b-Includes a $123,000 charge related to the costs of closing of a manufacturing facility and a tax benefit of $246,000. c-Net loss includes a $553,000 charge related to the costs of closing of a manufacturing facility. *3*** COMPANY REPORTS ** *3*CERTRON CORP (OTC) Year to Oct 31 1986 1985 Net inc b333,000 c133,000 Share earns .11 - b-Includes a $123,000 charge related to the costs of cl",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,5,CERTRON CORP reports earnings for Year to Oct 31,,"LEAD: *3*** COMPANY REPORTS ** *3*CERTRON CORP (OTC) Year to Oct 31 1986 1985 Net inc b333,000 c133,000 Share earns .11 - b-Includes a $123,000 charge related to the costs of closing of a manufacturing facility and a tax benefit of $246,000. c-Net loss includes a $553,000 charge related to the costs of closing of a manufacturing facility.",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71039F932A35752C0A961948260,66,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000005.xml,"('NEGATIVE', 0.9964913129806519)",NEGATIVE,0.9964913129806519
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*COMMERCIAL METALS (NYSE) Qtr to Nov 30 1986 1985 Revenue 208,254,000 202,338,000 Net inc 1,525,000 3,058,000 Share earns .17 .35 Shares outst 8,948,481 8,837,367 *3*** COMPANY REPORTS ** *3*COMMERCIAL METALS (NYSE) Qtr to Nov 30 1986 1985 Revenue 208,254,000 202,338,000 Net inc 1,525,000 3,058,000 Share earns .17 .35 Shares outst 8,948,481 8,837,367",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,6,COMMERCIAL METALS reports earnings for Qtr to Nov 30,,"LEAD: *3*** COMPANY REPORTS ** *3*COMMERCIAL METALS (NYSE) Qtr to Nov 30 1986 1985 Revenue 208,254,000 202,338,000 Net inc 1,525,000 3,058,000 Share earns .17 .35 Shares outst 8,948,481 8,837,367",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71139F932A35752C0A961948260,41,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000006.xml,"('NEGATIVE', 0.9855701327323914)",NEGATIVE,0.9855701327323914
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*CSP INC (OTC) Qtr to Nov 30 1986 1985 Sales 2,523,000 3,998,000 Net inc 199,000 608,000 Share earns .07 .21 *3*** COMPANY REPORTS ** *3*CSP INC (OTC) Qtr to Nov 30 1986 1985 Sales 2,523,000 3,998,000 Net inc 199,000 608,000 Share earns .07 .21",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,7,CSP INC reports earnings for Qtr to Nov 30,,"LEAD: *3*** COMPANY REPORTS ** *3*CSP INC (OTC) Qtr to Nov 30 1986 1985 Sales 2,523,000 3,998,000 Net inc 199,000 608,000 Share earns .07 .21",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71E39F932A35752C0A961948260,31,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000007.xml,"('NEGATIVE', 0.944668710231781)",NEGATIVE,0.944668710231781
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*DAMSON OIL (AMEX) Qtr to Sept 30 1986 1985 Revenue 7,300,000 20,900,000 Net loss 13,800,000 5,300,000 Yr rev 49,400,000 89,000,000 Net loss b74,600,000 1,300,000 b-Includes a pre-tax writedown of about $77.1 million associated primarily with its oil and gas properties and related assets. *3*** COMPANY REPORTS ** *3*DAMSON OIL (AMEX) Qtr to Sept 30 1986 1985 Revenue 7,300,000 20,900,000 Net loss 13,800,000 5,300,000 Yr rev 49,400,000 89,000,000 Net loss b74,600,000 1,300,000",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,8,DAMSON OIL reports earnings for Qtr to Sept 30,,"LEAD: *3*** COMPANY REPORTS ** *3*DAMSON OIL (AMEX) Qtr to Sept 30 1986 1985 Revenue 7,300,000 20,900,000 Net loss 13,800,000 5,300,000 Yr rev 49,400,000 89,000,000 Net loss b74,600,000 1,300,000 b-Includes a pre-tax writedown of about $77.1 million associated primarily with its oil and gas properties and related assets.",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71F39F932A35752C0A961948260,64,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000008.xml,"('NEGATIVE', 0.9961010217666626)",NEGATIVE,0.9961010217666626
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*ELECTRO AUDIO DYNAMICS (AMEX) Qtr to Nov 1 1986 1985 Sales 18,304,000 1,409,000 Net loss 430,000 b685,000 Shares outst 6,102,805 3,709,250 b-After income from discontinued operations of $315,000. The results of operations for the year-ago quarter do not include Action Drug Company which was acquired by Technodyne Inc. *3*** COMPANY REPORTS ** *3*ELECTRO AUDIO DYNAMICS (AMEX) Qtr to Nov 1 1986 1985 Sales 18,304,000 1,409,000 Net loss 430,000 b685,000 Shares outst 6,102,805 3",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,9,ELECTRO AUDIO DYNAMICS reports earnings for Qtr to Nov 1,,"LEAD: *3*** COMPANY REPORTS ** *3*ELECTRO AUDIO DYNAMICS (AMEX) Qtr to Nov 1 1986 1985 Sales 18,304,000 1,409,000 Net loss 430,000 b685,000 Shares outst 6,102,805 3,709,250 b-After income from discontinued operations of $315,000. The results of operations for the year-ago quarter do not include Action Drug Company which was acquired by Technodyne Inc.",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71638F932A35752C0A961948260,72,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000009.xml,"('NEGATIVE', 0.9958651661872864)",NEGATIVE,0.9958651661872864
